"","상권_코드","화장품","문구점","약국","패션잡화","의류점","과일채소","정육점","휴대폰","컴퓨터판매수리","편의점","슈퍼마켓","자동차미용","자동차수리","세탁소","여관업","피부관리실","네일숍","미용실","헬스클럽","골프연습장","당구장","노래방","인테리어","보육시설","일반의원","한의원","치과의원","예체능학원","외국어학원","입시보습학원","호프간이주점","커피음료","제과점","치킨집","패스트푸드점","분식집","양식집","일식집","중국집","한식음식점"
"892",893,872139615,130331436,1112136849,412178408,1493807034,272719438,421049779,58425088,122340964,2917769174,4232642246,40836738,636659447,89547281,818347015,330386201,104826788,890235653,434177973,39070392,99504062,839346732,514116798,583125002,2622786373,405360941,2151956778,310764890,66566347,258994215,2257697446,975576199,1143462694,711263155,758255691,1084059383,1168266764,2178159944,923923235,10175101464
"893",894,728023616,72566516,931954411,310761190,1808208187,771123592,544070979,39644727,71675809,2176535284,2627855488,133827017,303689540,81014856,717108528,205449020,57119513,710492360,201212840,59996423,49675235,196738956,588784315,528929714,2378825130,322462139,1829157197,239964756,49550854,144111300,569398403,567265591,535867635,186663281,274768595,719862026,280066913,920447051,540816514,5342712120
"895",896,1257348134,1152167921,708102750,368930596,1484783719,199754499,224209446,156403939,9799461607,2346595368,2263247223,17554770,319306598,269532841,133816860,310097582,69554282,1908365658,293831887,169259528,30792081,117387971,253819309,456757006,707527521,203152375,872514075,1347374730,897996321,1714659007,630411855,1396914659,641135034,440042013,998807475,1960760829,1644941163,1415606686,675559141,7879028990
"896",897,117964030,433623901,397194840,153227201,4658142626,311609465,239315794,150526771,182339759,1700994772,1119694010,416335,358692964,23203606,1413395132,69741745,7001148,169448374,48795099,34317357,30873150,189190452,243217205,171737463,1150688554,65044111,271331807,451947976,109434997,331219236,353022031,803087885,173730518,351607817,113413823,452103782,366483860,688117580,414374070,4697791457
"898",899,555895418,21614627,781881484,131417095,1344968754,164012113,194868976,29922610,28383192,1297269045,844272923,4182000,204902189,59619954,536427095,89920644,4830192,149413387,323864412,47137242,55344536,409639677,312984414,201186373,680614442,338399746,544310278,289829704,7702665,133699276,1498265084,481192998,606015873,235595600,236342721,719458540,1905973509,1732269837,537795893,6713424672
"899",900,287977472,17181560,446581331,15342742,202102558,2332112242,1546360636,114290099,164177527,1085639775,2663486189,12017053,480175241,57037335,430747428,92866862,70921409,310439041,172509635,625834751,47709786,275966674,432909845,322974171,1308778059,296785944,939548722,202454303,20805691,86776857,912095197,383662122,310321639,167244602,130513225,460982237,449658393,580939636,467950883,4245587248
"900",901,369906239,5861962,627555624,51411985,416283990,2498605912,1490363080,121727613,145227098,1100033318,3467094123,59765822,652224816,90531145,574516928,79754525,71402178,416571363,176113262,89052088,68702726,393474508,672687910,289140305,3603994159,407688808,1238411266,181150943,37353658,98012963,1101914167,438918108,373113086,193529100,128554215,614498683,504058317,678517150,841943953,4895596964
"901",902,343092306,5861962,603884315,28061283,352942264,2431761663,1378093821,105089996,42514955,1177559396,1284287891,59765822,681441214,85507363,573819554,68474157,70921409,341897543,176113262,133487730,98781827,352613522,712261262,235560057,3538546622,344061596,1146961297,141859381,29719512,68940994,999755401,424999881,342906516,158244517,92578681,517531340,506928269,643761816,860084357,4747570540
"902",903,332601948,5861962,527189819,53331482,385625877,2349731228,1277325437,104882462,42514955,1058698077,1360248456,59765822,734390646,86000842,453531261,67247163,62490853,315303777,176113262,133487730,96164797,347348301,689423655,200931490,3462378518,326171965,1054168826,135798775,2e+07,68940994,1015123635,415547518,273195280,158244517,82976523,527460274,487162678,644276963,896066133,4722657474
"903",904,338396302,4108172,497824279,50980667,414406626,975436937,780126808,91468247,33004186,1024573244,1605706990,63785624,651457240,86000842,454228635,67247163,64499827,336130831,139725702,89052088,60511571,361447018,677974057,257943851,3497572786,326171965,1015663477,155750598,2e+07,71440994,936858295,413801432,284118543,178293743,82976523,573047376,500495660,595800685,831450839,4124493309
"904",905,212613816,4949346,486871041,52523565,361252893,469364885,395654173,14742576,22159646,1010560062,1713856302,60231905,445127181,98435411,163889813,56259181,65837050,362092018,90542670,61151122,46689245,340778205,563053318,272341702,3387830193,351439473,959274914,153081617,2e+07,66487869,886732459,353148306,241636575,218241890,61926980,483197418,435986429,569803307,849826942,3662097646
"905",906,316881470,4949346,586647837,52523565,424858206,642268116,364404014,94148764,47618898,1153199905,1792868419,56212103,537546195,104339869,212559317,41093268,66336807,374232490,142496226,133487730,92461424,379354506,928025915,232877298,3401394353,336591680,1102745500,105707910,6991870,36985298,1001940289,438309845,282483530,238426044,90286797,580414236,515123101,622794527,948851575,4126944886
"906",907,179180372,19093809,467662579,40911315,278937434,908610346,358423810,56379533,55337339,1512797909,2367562851,51856704,778302756,59582419,183482729,33650963,32091093,296136435,118736914,105312136,82000930,326357619,668997876,160129329,3665320468,251869171,850500769,94164535,26794290,83364148,750795580,268488171,259757772,216680841,60220522,487983004,204459454,641230505,853590627,3547546996
"907",908,265284663,15213235,421374813,45218617,346807412,856354778,389559860,18940944,44301505,1091651834,1774417036,50324977,722725445,60743462,212559317,28655538,31227336,347970592,90542670,102946794,88636032,354716089,882264751,202001621,2821757221,318673071,919341114,114542815,12804878,36985298,952780320,238812711,213778907,152370811,32614284,456033821,218457954,623319872,850881397,3661237134
